规则序号,judgment_result,IFC实体组,
27,不适用,不适用,
44,"合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""2OibT2UMLBYgfonVOngj2l"", ""type"": ""地面 (IfcBuildingStorey)""}, {""guid"": ""1wXU_jTED61P7ZYfArwKmh"", ""type"": ""8 (IfcSpace)""}, {""guid"": ""1Dkc0PZSH8QhoXanFZjEwA"", ""type"": ""单嵌板玻璃门 1:700 x 2100mm:239963 (IfcDoor)""}, {""guid"": ""1Dkc0PZSH8QhoXanFZjEzD"", ""type"": ""单嵌板玻璃门 1:700 x 2100mm:239772 (IfcDoor)""}, {""guid"": ""2PwpcYxEv3BQDGz$YVbYWf"", ""type"": ""双扇推拉门 - 墙外:4000 x 4000mm 2:229880 (IfcDoor)""}, {""guid"": ""2PwpcYxEv3BQDGz$YVbYZD"", ""type"": ""双扇推拉门 - 墙外:4000 x 4000mm 2:229660 (IfcDoor)""}, {""guid"": ""2PwpcYxEv3BQDGz$YVbYar"", ""type"": ""双扇推拉门 - 墙外:4000 x 4000mm 2:229604 (IfcDoor)""}, {""guid"": ""2PwpcYxEv3BQDGz$YVbYdh"", ""type"": ""双扇推拉门 - 墙外:4000 x 4000mm 2:229434 (IfcDoor)""}, {""guid"": ""2PwpcYxEv3BQDGz$YVbYh8"", ""type"": ""双扇推拉门 - 墙外:3000 x 3500mm 3:230169 (IfcDoor)""}, {""guid"": ""2PwpcYxEv3BQDGz$YVbYim"", ""type"": ""双扇推拉门 - 墙外:3000 x 3500mm 3:230113 (IfcDoor)""}, {""guid"": ""2PwpcYxEv3BQDGz$YVbYj_"", ""type"": ""双扇推拉门 - 墙外:3000 x 3500mm 3:230063 (IfcDoor)""}, {""guid"": ""2PwpcYxEv3BQDGz$YVbYlf"", ""type"": ""双扇推拉门 - 墙外:3000 x 3500mm 3:229944 (IfcDoor)""}, {""guid"": ""2PwpcYxEv3BQDGz$YVbjOh"", ""type"": ""双扇推拉门 - 墙外:4000 x 4000mm 2:229370 (IfcDoor)""}, {""guid"": ""2PwpcYxEv3BQDGz$YVbjRc"", ""type"": ""双扇推拉门 - 墙外:4000 x 4000mm 2:229175 (IfcDoor)""}]",
44,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""2OibT2UMLBYgfonVOngjlZ"", ""type"": ""二层楼面 (IfcBuildingStorey)""}, {""guid"": ""1wXU_jTED61P7ZYfArwKmy"", ""type"": ""13 (IfcSpace)""}, {""guid"": ""26bv8NXWT6ZffBljVe3EEW"", ""type"": ""单嵌板玻璃门 1:900 x 2100mm:244061 (IfcDoor)""}, {""guid"": ""26bv8NXWT6ZffBljVe3ELX"", ""type"": ""单嵌板玻璃门 1:900 x 2100mm:245660 (IfcDoor)""}]",
45,"合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""1wXU_jTED61P7ZYfArwKmh"", ""type"": ""8 (IfcSpace)""}, {""guid"": ""1Dkc0PZSH8QhoXanFZjEwA"", ""type"": ""单嵌板玻璃门 1:700 x 2100mm:239963 (IfcDoor)""}, {""guid"": ""1Dkc0PZSH8QhoXanFZjEzD"", ""type"": ""单嵌板玻璃门 1:700 x 2100mm:239772 (IfcDoor)""}, {""guid"": ""2PwpcYxEv3BQDGz$YVbYWf"", ""type"": ""双扇推拉门 - 墙外:4000 x 4000mm 2:229880 (IfcDoor)""}, {""guid"": ""2PwpcYxEv3BQDGz$YVbYZD"", ""type"": ""双扇推拉门 - 墙外:4000 x 4000mm 2:229660 (IfcDoor)""}, {""guid"": ""2PwpcYxEv3BQDGz$YVbYar"", ""type"": ""双扇推拉门 - 墙外:4000 x 4000mm 2:229604 (IfcDoor)""}, {""guid"": ""2PwpcYxEv3BQDGz$YVbYdh"", ""type"": ""双扇推拉门 - 墙外:4000 x 4000mm 2:229434 (IfcDoor)""}, {""guid"": ""2PwpcYxEv3BQDGz$YVbYh8"", ""type"": ""双扇推拉门 - 墙外:3000 x 3500mm 3:230169 (IfcDoor)""}, {""guid"": ""2PwpcYxEv3BQDGz$YVbYim"", ""type"": ""双扇推拉门 - 墙外:3000 x 3500mm 3:230113 (IfcDoor)""}, {""guid"": ""2PwpcYxEv3BQDGz$YVbYj_"", ""type"": ""双扇推拉门 - 墙外:3000 x 3500mm 3:230063 (IfcDoor)""}, {""guid"": ""2PwpcYxEv3BQDGz$YVbYlf"", ""type"": ""双扇推拉门 - 墙外:3000 x 3500mm 3:229944 (IfcDoor)""}, {""guid"": ""2PwpcYxEv3BQDGz$YVbjOh"", ""type"": ""双扇推拉门 - 墙外:4000 x 4000mm 2:229370 (IfcDoor)""}]",
22,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0TDMvFTNHFH99lCoq9QHPU"", ""type"": ""基本墙:常规 - 200mm:221209 (IfcWall)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_$5"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:216381 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_$B"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:216371 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_$H"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:216361 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_$T"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:216357 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_0Y"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:213722 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_Jw"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:214530 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_W$"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215751 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_WX"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215769 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_WZ"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215771 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_Wb"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215773 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_Wj"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215765 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_Wn"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215753 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_Wp"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215755 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_X$"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215687 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_Xx"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215683 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_Y1"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215673 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_Y5"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215677 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_Y7"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215679 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_YB"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215667 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_YD"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215669 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_YF"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215671 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_YN"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215663 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_ZH"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215593 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_ZJ"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215595 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_ZR"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215587 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_ZT"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215589 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_ZX"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215577 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_ZZ"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215579 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_Zd"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215583 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_aX"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:216025 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_aZ"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:216027 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_ad"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:216031 (IfcColumn)""}]",
