规则序号,规范实体文本,规范实体类型,ifc_guid,ifc_entity_with_type,对齐标注时间
1,桥涵结构,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
1,公路,公路,1TNv6Ty9L0ivEyiBVafqrG,公路 (IfcRoad),
1,桥涵结构,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
2,大桥,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
2,大桥,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
2,高速公路,公路,1TNv6Ty9L0ivEyiBVafqrG,公路 (IfcRoad),
2,特大桥,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
2,特大桥,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
3,中桥,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
3,中桥,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
3,高速公路,公路,1TNv6Ty9L0ivEyiBVafqrG,公路 (IfcRoad),
4,涵洞,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
4,涵洞,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
4,小桥,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
4,小桥,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
4,高速公路,公路,1TNv6Ty9L0ivEyiBVafqrG,公路 (IfcRoad),
7,特大桥,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
7,大桥,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
7,大桥,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
7,特大桥,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
8,中桥,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
8,中桥,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
9,小桥,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
9,小桥,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
12,大桥,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
12,特大桥,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
12,特大桥,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
12,大桥,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
13,中桥,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
13,中桥,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
14,小桥,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
14,小桥,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
14,涵洞,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
17,大桥,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
17,大桥,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
17,特大桥,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
17,特大桥,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
18,中桥,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
19,涵洞,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
19,三级公路,公路,1TNv6Ty9L0ivEyiBVafqrG,公路 (IfcRoad),
19,小桥,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
22,特大桥,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
22,大桥,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
22,四级公路,公路,1TNv6Ty9L0ivEyiBVafqrG,公路 (IfcRoad),
22,特大桥,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
22,大桥,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
23,中桥,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
24,小桥,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
24,四级公路,公路,1TNv6Ty9L0ivEyiBVafqrG,公路 (IfcRoad),
24,小桥,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
27,高速公路,公路,1TNv6Ty9L0ivEyiBVafqrG,公路 (IfcRoad),
27,特大桥,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
27,特大桥,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
28,高速公路大桥,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
28,高速公路大桥,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
29,中桥,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
29,中桥,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
29,高速公路,公路,1TNv6Ty9L0ivEyiBVafqrG,公路 (IfcRoad),
30,小桥,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
30,高速公路,公路,1TNv6Ty9L0ivEyiBVafqrG,公路 (IfcRoad),
30,小桥,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
31,高速公路,公路,1TNv6Ty9L0ivEyiBVafqrG,公路 (IfcRoad),
31,高速公路涵洞,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
31,高速公路涵洞,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
31,小型排水构造物,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
31,小型排水构造物,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
32,一级公路,公路,1TNv6Ty9L0ivEyiBVafqrG,公路 (IfcRoad),
