规则序号,实体文本,实体类型,开始位置,结束位置,识别时间
1,公路,公路,0,2,2025-03-25 09:57:57.618429
1,桥涵结构,桥梁结构,2,6,2025-03-25 09:57:57.618429
2,高速公路,公路,0,4,2025-03-25 09:57:57.623607
2,特大桥,桥梁结构,4,7,2025-03-25 09:57:57.623607
2,大桥,桥梁结构,8,10,2025-03-25 09:57:57.623607
3,高速公路,公路,0,4,2025-03-25 09:57:57.634579
3,中桥,桥梁结构,5,7,2025-03-25 09:57:57.634579
4,高速公路,公路,0,4,2025-03-25 09:57:57.640137
4,小桥,桥梁结构,4,6,2025-03-25 09:57:57.640137
4,涵洞,桥梁结构,7,9,2025-03-25 09:57:57.640137
7,一级公路,公路,0,4,2025-03-25 09:57:57.647473
7,特大桥,桥梁结构,5,8,2025-03-25 09:57:57.647473
7,大桥,桥梁结构,9,11,2025-03-25 09:57:57.647473
8,一级公路,公路,0,4,2025-03-25 09:57:57.656582
8,中桥,桥梁结构,5,7,2025-03-25 09:57:57.656582
9,一级公路,公路,0,4,2025-03-25 09:57:57.663408
9,小桥,桥梁结构,4,6,2025-03-25 09:57:57.663408
9,涵洞,桥梁结构,7,9,2025-03-25 09:57:57.663408
12,二级公路,公路,0,4,2025-03-25 09:57:57.675374
12,特大桥,桥梁结构,5,8,2025-03-25 09:57:57.675374
12,大桥,桥梁结构,9,11,2025-03-25 09:57:57.675374
13,二级公路,公路,0,4,2025-03-25 09:57:57.687177
13,中桥,桥梁结构,5,7,2025-03-25 09:57:57.687177
14,二级公路,公路,0,4,2025-03-25 09:57:57.694770
14,小桥,桥梁结构,5,7,2025-03-25 09:57:57.694770
14,涵洞,桥梁结构,8,10,2025-03-25 09:57:57.694770
17,三级公路,公路,0,4,2025-03-25 09:57:57.708091
17,特大桥,桥梁结构,5,8,2025-03-25 09:57:57.708091
17,大桥,桥梁结构,9,11,2025-03-25 09:57:57.708091
18,三级公路,公路,0,4,2025-03-25 09:57:57.720090
18,中桥,桥梁结构,5,7,2025-03-25 09:57:57.720090
19,三级公路,公路,0,4,2025-03-25 09:57:57.726997
19,小桥,桥梁结构,4,6,2025-03-25 09:57:57.726997
19,涵洞,桥梁结构,7,9,2025-03-25 09:57:57.726997
22,四级公路,公路,0,4,2025-03-25 09:57:57.737509
22,特大桥,桥梁结构,5,8,2025-03-25 09:57:57.737509
22,大桥,桥梁结构,9,11,2025-03-25 09:57:57.737509
23,四级公路,公路,0,4,2025-03-25 09:57:57.747639
23,中桥,桥梁结构,5,7,2025-03-25 09:57:57.747639
24,四级公路,公路,0,4,2025-03-25 09:57:57.753070
24,小桥,桥梁结构,5,7,2025-03-25 09:57:57.753070
24,涵洞,桥梁结构,8,10,2025-03-25 09:57:57.753070
27,高速公路,公路,0,4,2025-03-25 09:57:57.764156
