规则序号,规范来源,条款编号,规范内容,识别类型,标注时间
1,公路桥涵设计通用规范,1.0.3,公路桥涵结构的设计基准期为 100 年。,属性约束类,2025-02-24 09:42:46.253379
2,公路桥涵设计通用规范,1.0.4 ,高速公路特大桥和大桥的设计使用年限为100年。,属性约束类,2025-02-24 09:42:46.256442
3,公路桥涵设计通用规范,1.0.4 ,高速公路的中桥的设计使用年限为100年。,属性约束类,2025-02-24 09:42:46.258198
4,公路桥涵设计通用规范,1.0.4 ,高速公路小桥和涵洞的设计使用年限为100年。,属性约束类,2025-02-24 09:42:46.260059
7,公路桥涵设计通用规范,1.0.4 ,一级公路特大桥和大桥的设计使用年限为100年。,属性约束类,2025-02-24 09:42:46.261838
8,公路桥涵设计通用规范,1.0.4 ,一级公路的中桥的设计使用年限为100年。,属性约束类,2025-02-24 09:42:46.263583
9,公路桥涵设计通用规范,1.0.4 ,一级公路小桥和涵洞的设计使用年限为100年。,属性约束类,2025-02-24 09:42:46.266386
12,公路桥涵设计通用规范,1.0.4 ,二级公路特大桥和大桥的设计使用年限为100年。,属性约束类,2025-02-24 09:42:46.269391
13,公路桥涵设计通用规范,1.0.4 ,二级公路的中桥的设计使用年限为50年。,属性约束类,2025-02-24 09:42:46.272229
14,公路桥涵设计通用规范,1.0.4 ,二级公路小桥和涵洞的设计使用年限为50年。,属性约束类,2025-02-24 09:42:46.274313
17,公路桥涵设计通用规范,1.0.4 ,三级公路特大桥和大桥的设计使用年限为100年。,属性约束类,2025-02-24 09:42:46.276164
18,公路桥涵设计通用规范,1.0.4 ,三级公路的中桥的设计使用年限为50年。,属性约束类,2025-02-24 09:42:46.277992
19,公路桥涵设计通用规范,1.0.4 ,三级公路小桥和涵洞的设计使用年限为50年。,属性约束类,2025-02-24 09:42:46.279848
22,公路桥涵设计通用规范,1.0.4 ,四级公路特大桥和大桥的设计使用年限为100年。,属性约束类,2025-02-24 09:42:46.281693
23,公路桥涵设计通用规范,1.0.4 ,四级公路的中桥的设计使用年限为50年。,属性约束类,2025-02-24 09:42:46.283510
24,公路桥涵设计通用规范,1.0.4 ,四级公路小桥和涵洞的设计使用年限为30年。,属性约束类,2025-02-24 09:42:46.285542
27,公路桥涵设计通用规范,3.2.9,高速公路特大桥的设计洪水频率为1/300。,属性约束类,2025-02-24 09:42:46.287420
28,公路桥涵设计通用规范,3.2.9,高速公路大桥的设计洪水频率为1/100。,属性约束类,2025-02-24 09:42:46.289218
29,公路桥涵设计通用规范,3.2.9,高速公路的中桥的设计洪水频率为1/100。,属性约束类,2025-02-24 09:42:46.291111
30,公路桥涵设计通用规范,3.2.9,高速公路小桥的设计洪水频率为1/100。,属性约束类,2025-02-24 09:42:46.292931
31,公路桥涵设计通用规范,3.2.9,高速公路涵洞及小型排水构造物的设计洪水频率为1/100。,属性约束类,2025-02-24 09:42:46.294711
32,公路桥涵设计通用规范,3.2.9,一级公路特大桥的设计洪水频率为1/300。,属性约束类,2025-02-24 09:42:46.296516
33,公路桥涵设计通用规范,3.2.9,一级公路大桥的设计洪水频率为1/100。,属性约束类,2025-02-24 09:42:46.298327
34,公路桥涵设计通用规范,3.2.9,一级公路中桥的设计洪水频率为1/100。,属性约束类,2025-02-24 09:42:46.300208
35,公路桥涵设计通用规范,3.2.9,一级公路小桥的设计洪水频率为1/100。,属性约束类,2025-02-24 09:42:46.302003
36,公路桥涵设计通用规范,3.2.9,一级公路涵洞及小型排水构造物的设计洪水频率为1/100。,属性约束类,2025-02-24 09:42:46.303812
37,公路桥涵设计通用规范,3.2.9,二级公路特大桥的设计洪水频率为1/100。,属性约束类,2025-02-24 09:42:46.305594
38,公路桥涵设计通用规范,3.2.9,二级公路大桥的设计洪水频率为1/50。,属性约束类,2025-02-24 09:42:46.307443
39,公路桥涵设计通用规范,3.2.9,二级公路中桥的设计洪水频率为1/50。,属性约束类,2025-02-24 09:42:46.309233
40,公路桥涵设计通用规范,3.2.9,二级公路小桥的设计洪水频率为1/50。,属性约束类,2025-02-24 09:42:46.311540
41,公路桥涵设计通用规范,3.2.9,二级公路涵洞及小型排水构造物的设计洪水频率为1/50。,属性约束类,2025-02-24 09:42:46.313328
42,公路桥涵设计通用规范,3.2.9,三级公路特大桥的设计洪水频率为 1/100。,属性约束类,2025-02-24 09:42:46.315094
43,公路桥涵设计通用规范,3.2.9,三级公路大桥的设计洪水频率为 1/25。,属性约束类,2025-02-24 09:42:46.316932
44,公路桥涵设计通用规范,3.2.9,三级公路中桥的设计洪水频率为1/25。,属性约束类,2025-02-24 09:42:46.318715
45,公路桥涵设计通用规范,3.2.9,三级公路小桥的设计洪水频率为 1/25。,属性约束类,2025-02-24 09:42:46.320522
46,公路桥涵设计通用规范,3.2.9,三级公路涵洞及小型排水构造物的设计洪水频率为 1/25。,属性约束类,2025-02-24 09:42:46.322288
47,公路桥涵设计通用规范,3.2.9,四级公路特大桥的设计洪水频率为 1/100。,属性约束类,2025-02-24 09:42:46.324124
48,公路桥涵设计通用规范,3.2.9,四级公路大桥的设计洪水频率为 1/25。,属性约束类,2025-02-24 09:42:46.325918
49,公路桥涵设计通用规范,3.2.9,四级公路中桥的设计洪水频率为 1/25。,属性约束类,2025-02-24 09:42:46.327689
50,公路桥涵设计通用规范,3.2.9,四级公路小桥的设计洪水频率为 1/25。,属性约束类,2025-02-24 09:42:46.329439
51,公路桥涵设计通用规范,3.2.9,四级公路涵洞及小型排水构造物的设计洪水频率不作规定。,属性约束类,2025-02-24 09:42:46.331165
