规则序号,规范实体文本,规范实体类型,ifc_guid,ifc_entity_with_type,对齐标注时间
22,厂房,建筑物,2OibT2UMLBYgfonVRELIuz,(IfcBuilding),53:12.2
22,防火墙,建筑物构件,0TDMvFTNHFH99lCoq9QHPU,基本墙:常规 - 200mm:221209 (IfcWall),
23,承重墙,建筑物构件,0cauBN0lX9uQLK9JxG0zdT,基本墙:常规 - 200mm:222281 (IfcWall),
23,承重墙,建筑物构件,0cauBN0lX9uQLK9JxG0zuW,基本墙:常规 - 200mm:222132 (IfcWall),
23,承重墙,建筑物构件,0cauBN0lX9uQLK9JxG0zwB,基本墙:常规 - 200mm:221983 (IfcWall),
23,承重墙,建筑物构件,0cauBN0lX9uQLK9JxG0z$a,基本墙:常规 - 200mm:221808 (IfcWall),
23,承重墙,建筑物构件,0TDMvFTNHFH99lCoq9QHUK,基本墙:常规 - 200mm:221651 (IfcWall),
23,承重墙,建筑物构件,0TDMvFTNHFH99lCoq9QHQr,基本墙:常规 - 200mm:221426 (IfcWall),
23,承重墙,建筑物构件,0TDMvFTNHFH99lCoq9QHPU,基本墙:常规 - 200mm:221209 (IfcWall),
23,承重墙,建筑物构件,0TDMvFTNHFH99lCoq9QIbh,基本墙:常规 - 200mm:220972 (IfcWall),
23,承重墙,建筑物构件,1Dkc0PZSH8QhoXanFZjENO,基本墙:常规 - 200mm:238089 (IfcWall),
23,承重墙,建筑物构件,1Dkc0PZSH8QhoXanFZjEP0,基本墙:常规 - 200mm:237969 (IfcWall),
23,承重墙,建筑物构件,1Dkc0PZSH8QhoXanFZjESf,基本墙:常规 - 200mm:237816 (IfcWall),
23,承重墙,建筑物构件,1Dkc0PZSH8QhoXanFZjDYQ,基本墙:常规 - 200mm:237387 (IfcWall),
23,承重墙,建筑物构件,1Dkc0PZSH8QhoXanFZjDbN,基本墙:常规 - 200mm:237190 (IfcWall),
23,承重墙,建筑物构件,1Dkc0PZSH8QhoXanFZjDeH,基本墙:常规 - 200mm:236992 (IfcWall),
23,承重墙,建筑物构件,1Dkc0PZSH8QhoXanFZjDjM,基本墙:常规 - 200mm:236679 (IfcWall),
23,承重墙,建筑物构件,1Dkc0PZSH8QhoXanFZjDlI,基本墙:常规 - 200mm:236547 (IfcWall),
23,厂房,建筑物,2OibT2UMLBYgfonVRELIuz,(IfcBuilding),
27,厂房,建筑物,2OibT2UMLBYgfonVRELIuz,(IfcBuilding),53:12.2
28,厂房,建筑物,2OibT2UMLBYgfonVRELIuz,(IfcBuilding),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKIGl,混凝土 - 矩形 - 柱:500 x 500mm 2:217245 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKIGf,混凝土 - 矩形 - 柱:500 x 500mm 2:217243 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKIJ6,混凝土 - 矩形 - 柱:500 x 500mm 2:217204 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKIJ0,混凝土 - 矩形 - 柱:500 x 500mm 2:217202 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKIJ2,混凝土 - 矩形 - 柱:500 x 500mm 2:217200 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKIJS,混凝土 - 矩形 - 柱:500 x 500mm 2:217198 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKIJU,混凝土 - 矩形 - 柱:500 x 500mm 2:217196 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKIJO,混凝土 - 矩形 - 柱:500 x 500mm 2:217194 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKIJQ,混凝土 - 矩形 - 柱:500 x 500mm 2:217192 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKIJK,混凝土 - 矩形 - 柱:500 x 500mm 2:217190 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKIJM,混凝土 - 矩形 - 柱:500 x 500mm 2:217188 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKIJG,混凝土 - 矩形 - 柱:500 x 500mm 2:217186 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKIJI,混凝土 - 矩形 - 柱:500 x 500mm 2:217184 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKIJi,混凝土 - 矩形 - 柱:500 x 500mm 2:217182 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKIJk,混凝土 - 矩形 - 柱:500 x 500mm 2:217180 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKII5,混凝土 - 矩形 - 柱:500 x 500mm 2:217143 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKII7,混凝土 - 矩形 - 柱:500 x 500mm 2:217141 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKII1,混凝土 - 矩形 - 柱:500 x 500mm 2:217139 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKII3,混凝土 - 矩形 - 柱:500 x 500mm 2:217137 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKIIT,混凝土 - 矩形 - 柱:500 x 500mm 2:217135 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKIIV,混凝土 - 矩形 - 柱:500 x 500mm 2:217133 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKIIR,混凝土 - 矩形 - 柱:500 x 500mm 2:217129 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKIIL,混凝土 - 矩形 - 柱:500 x 500mm 2:217127 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKIIN,混凝土 - 矩形 - 柱:500 x 500mm 2:217125 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKIIH,混凝土 - 矩形 - 柱:500 x 500mm 2:217123 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKIIJ,混凝土 - 矩形 - 柱:500 x 500mm 2:217121 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKIIj,混凝土 - 矩形 - 柱:500 x 500mm 2:217119 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKJj8,混凝土 - 矩形 - 柱:500 x 500mm 2:217082 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKJjA,混凝土 - 矩形 - 柱:500 x 500mm 2:217080 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKJj4,混凝土 - 矩形 - 柱:500 x 500mm 2:217078 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKJj6,混凝土 - 矩形 - 柱:500 x 500mm 2:217076 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKJj0,混凝土 - 矩形 - 柱:500 x 500mm 2:217074 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKJj2,混凝土 - 矩形 - 柱:500 x 500mm 2:217072 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKJjS,混凝土 - 矩形 - 柱:500 x 500mm 2:217070 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKJjU,混凝土 - 矩形 - 柱:500 x 500mm 2:217068 (IfcColumn),53:12.2
